[0505/211807.247:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0506/022249.941:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022254.959:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022259.992:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022304.999:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022310.006:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022315.022:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022320.035:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022325.048:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022330.074:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022335.093:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022340.101:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022345.117:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022350.147:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022355.163:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022400.191:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022553.260:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022558.272:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022633.674:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022638.690:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022643.705:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022648.719:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022653.730:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022658.740:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022703.750:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022708.764:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022713.779:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/022718.785:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
